time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-07-01 09:30:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,fill,86.0,AMD,stock,,0.0,,138.77000427246094,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,fill,78.0,NVDA,stock,,0.0,,156.2899932861328,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,fill,16.0,META,stock,,0.0,,736.8800048828125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,fill,25.0,MSFT,stock,,0.0,,496.4700012207031,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,fill,55.0,AMZN,stock,,0.0,,219.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-01 09:30:00-04:00,buy,fill,61.0,AAPL,stock,,0.0,,206.6699981689453,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-02 09:30:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-02 09:30:00-04:00,buy,fill,76.0,GOOGL,stock,,0.0,,175.5399932861328,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-17 09:30:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-17 09:30:00-04:00,buy,fill,43.0,TSLA,stock,,0.0,,323.1499938964844,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,fill,86.0,AMD,stock,,0.0,,163.50999450683594,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,fill,78.0,NVDA,stock,,0.0,,173.61000061035156,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,fill,16.0,META,stock,,0.0,,716.9199829101562,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,fill,25.0,MSFT,stock,,0.0,,512.469970703125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,fill,55.0,AMZN,stock,,0.0,,232.22000122070312,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,fill,61.0,AAPL,stock,,0.0,,214.6999969482422,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,fill,76.0,GOOGL,stock,,0.0,,191.97999572753906,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,sell,fill,43.0,TSLA,stock,,0.0,,308.739990234375,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,buy,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,buy,fill,80.0,AMD,stock,,0.0,,169.0800018310547,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,buy,fill,68.0,GOOGL,stock,,0.0,,193.64999389648438,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,buy,fill,25.0,MSFT,stock,,0.0,,514.0800170898438,market,1,0.0,0.0,trade,,,,,,,,,,,,
